"transaction","transaction_date","transaction_amount","credit_card","cardholder_name","cardholder_id","merchant_id","merchant_name","merchant_cat_id","merchant_type"
163,"2018-08-21 16:23:34","$1.10","3517111172421930","Robert Johnson",1,81,"Fowler and Sons",5,"food truck"
2220,"2018-03-30 17:36:58","$1.26","3517111172421930","Robert Johnson",1,61,"Richardson, Smith and Jordan",5,"food truck"
2402,"2018-02-26 03:56:40","$2.38","3517111172421930","Robert Johnson",1,81,"Fowler and Sons",5,"food truck"
399,"2018-04-23 09:08:20","$2.75","4761049645711555811","Robert Johnson",1,147,"Marshall-Lopez",5,"food truck"
545,"2018-09-25 20:23:14","$2.79","3517111172421930","Robert Johnson",1,80,"Kelly, Dyer and Schmitt",5,"food truck"
527,"2018-11-29 04:05:12","$3.23","4761049645711555811","Robert Johnson",1,93,"Rodriguez-Parker",5,"food truck"
251,"2018-03-03 02:05:51","$3.49","3517111172421930","Robert Johnson",1,88,"Armstrong PLC",5,"food truck"
241,"2018-09-08 16:32:23","$4.93","4761049645711555811","Robert Johnson",1,28,"Hess-Fischer",5,"food truck"
2072,"2018-02-07 01:36:19","$5.64","4761049645711555811","Robert Johnson",1,63,"Reed Group",5,"food truck"
321,"2018-10-18 20:04:43","$5.68","3517111172421930","Robert Johnson",1,89,"Kelley-Roberts",5,"food truck"
376,"2018-05-13 14:38:44","$7.41","3517111172421930","Robert Johnson",1,149,"Clark and Sons",5,"food truck"
81,"2018-09-09 10:30:47","$8.31","3517111172421930","Robert Johnson",1,23,"Wilson, Roberts and Davenport",5,"food truck"
1845,"2018-05-13 06:16:39","$10.04","4761049645711555811","Robert Johnson",1,138,"Mccullough-Murphy",5,"food truck"
919,"2018-04-13 00:49:59","$10.10","4761049645711555811","Robert Johnson",1,149,"Clark and Sons",5,"food truck"
1467,"2018-03-11 11:44:49","$10.20","3517111172421930","Robert Johnson",1,49,"Davis, Lowe and Baxter",5,"food truck"
1914,"2018-01-29 06:32:49","$10.24","3517111172421930","Robert Johnson",1,49,"Davis, Lowe and Baxter",5,"food truck"
1412,"2018-07-01 05:32:15","$10.46","4761049645711555811","Robert Johnson",1,24,"Rodgers, Johnston and Macias",5,"food truck"
987,"2018-11-09 07:37:01","$10.74","3517111172421930","Robert Johnson",1,120,"Vega, Jones and Castro",5,"food truck"
1144,"2018-11-05 22:30:35","$10.83","4761049645711555811","Robert Johnson",1,86,"Walker, Campbell and Sullivan",5,"food truck"
1810,"2018-03-28 23:13:53","$10.92","3517111172421930","Robert Johnson",1,82,"Day-Murray",5,"food truck"
923,"2018-10-03 02:04:52","$10.92","4761049645711555811","Robert Johnson",1,139,"Kidd-Lopez",5,"food truck"
950,"2018-03-24 02:22:57","$11.11","4761049645711555811","Robert Johnson",1,137,"Garcia PLC",5,"food truck"
1836,"2018-02-14 11:14:37","$11.38","3517111172421930","Robert Johnson",1,18,"Romero-Jordan",5,"food truck"
1436,"2018-01-10 13:41:23","$11.50","3517111172421930","Robert Johnson",1,49,"Davis, Lowe and Baxter",5,"food truck"
1072,"2018-03-31 00:50:30","$11.53","3517111172421930","Robert Johnson",1,139,"Kidd-Lopez",5,"food truck"
1246,"2018-02-19 08:50:36","$12.17","4761049645711555811","Robert Johnson",1,149,"Clark and Sons",5,"food truck"
1471,"2018-11-22 03:18:52","$12.32","3517111172421930","Robert Johnson",1,28,"Hess-Fischer",5,"food truck"
3108,"2018-06-15 19:45:25","$17.34","4761049645711555811","Robert Johnson",1,147,"Marshall-Lopez",5,"food truck"
3288,"2018-11-11 13:17:01","$18.38","4761049645711555811","Robert Johnson",1,147,"Marshall-Lopez",5,"food truck"
2472,"2018-04-21 21:42:14","$18.68","3517111172421930","Robert Johnson",1,94,"Yoder-Zavala",5,"food truck"
2720,"2018-11-29 23:45:31","$19.41","4761049645711555811","Robert Johnson",1,49,"Davis, Lowe and Baxter",5,"food truck"
3177,"2018-08-18 03:12:40","$20.07","3517111172421930","Robert Johnson",1,61,"Richardson, Smith and Jordan",5,"food truck"
3048,"2018-09-29 12:30:36","$20.68","4761049645711555811","Robert Johnson",1,31,"Fisher, Salazar and Thomas",5,"food truck"
292,"2018-11-26 20:54:39","$267.00","4761049645711555811","Robert Johnson",1,24,"Rodgers, Johnston and Macias",5,"food truck"
2330,"2018-10-16 13:27:33","$484.00","4761049645711555811","Robert Johnson",1,142,"Thomas-Garcia",5,"food truck"
3332,"2018-11-26 05:11:39","$2.27","3517111172421930","Robert Johnson",1,146,"Pitts, Smith and Gonzalez",4,"pub"
3490,"2018-01-02 16:14:55","$3.12","3517111172421930","Robert Johnson",1,21,"Robertson-Smith",4,"pub"
2030,"2018-03-09 00:31:16","$3.63","3517111172421930","Robert Johnson",1,5,"Miller-Blevins",4,"pub"
2253,"2018-01-19 10:15:55","$3.93","4761049645711555811","Robert Johnson",1,13,"Giles and Sons",4,"pub"
153,"2018-05-21 09:19:58","$4.57","3517111172421930","Robert Johnson",1,12,"Bell, Gonzalez and Lowe",4,"pub"
247,"2018-12-19 23:53:53","$6.68","4761049645711555811","Robert Johnson",1,21,"Robertson-Smith",4,"pub"
171,"2018-10-23 15:14:23","$8.90","4761049645711555811","Robert Johnson",1,90,"Brown-Cunningham",4,"pub"
1148,"2018-11-29 06:20:42","$10.26","3517111172421930","Robert Johnson",1,107,"Rowe-Abbott",4,"pub"
1438,"2018-11-07 12:48:48","$10.32","3517111172421930","Robert Johnson",1,146,"Pitts, Smith and Gonzalez",4,"pub"
1515,"2018-04-10 02:51:58","$10.71","3517111172421930","Robert Johnson",1,91,"Turner Ltd",4,"pub"
1782,"2018-09-25 00:48:56","$10.85","3517111172421930","Robert Johnson",1,105,"Garcia and Sons",4,"pub"
1560,"2018-01-14 13:30:29","$10.94","3517111172421930","Robert Johnson",1,19,"Santos-Fitzgerald",4,"pub"
1260,"2018-12-30 19:28:21","$11.26","4761049645711555811","Robert Johnson",1,106,"Carter-Blackwell",4,"pub"
1540,"2018-12-18 18:40:57","$11.42","3517111172421930","Robert Johnson",1,123,"Boone, Davis and Townsend",4,"pub"
1723,"2018-10-08 17:55:15","$11.71","4761049645711555811","Robert Johnson",1,37,"Nguyen, Bautista and Williams",4,"pub"
2934,"2018-02-21 13:21:13","$15.78","4761049645711555811","Robert Johnson",1,5,"Miller-Blevins",4,"pub"
2804,"2018-06-05 04:15:21","$16.47","3517111172421930","Robert Johnson",1,58,"Young, Hull and Williams",4,"pub"
2958,"2018-08-29 22:16:06","$16.68","3517111172421930","Robert Johnson",1,29,"Browning-Cantu",4,"pub"
2853,"2018-03-22 11:56:50","$18.30","3517111172421930","Robert Johnson",1,35,"Jarvis-Turner",4,"pub"
1293,"2018-12-30 23:23:09","$1,033.00","4761049645711555811","Robert Johnson",1,57,"Thornton-Williams",4,"pub"
2672,"2018-11-27 17:27:34","$1,660.00","4761049645711555811","Robert Johnson",1,29,"Browning-Cantu",4,"pub"
575,"2018-03-10 23:00:35","$0.76","3517111172421930","Robert Johnson",1,2,"Riggs-Adams",1,"restaurant"
2283,"2018-06-22 11:53:25","$1.29","3517111172421930","Robert Johnson",1,77,"Brown, Ballard and Glass",1,"restaurant"
2067,"2018-07-09 11:52:10","$1.40","4761049645711555811","Robert Johnson",1,47,"Martin Inc",1,"restaurant"
2146,"2018-01-11 19:36:21","$1.72","4761049645711555811","Robert Johnson",1,99,"Bond, Lewis and Rangel",1,"restaurant"
719,"2018-08-15 09:33:28","$2.29","3517111172421930","Robert Johnson",1,144,"Walker, Deleon and Wolf",1,"restaurant"
3494,"2018-02-06 10:55:49","$2.49","4761049645711555811","Robert Johnson",1,100,"Townsend-Anderson",1,"restaurant"
874,"2018-05-27 05:34:33","$2.76","3517111172421930","Robert Johnson",1,99,"Bond, Lewis and Rangel",1,"restaurant"
731,"2018-03-13 03:50:55","$2.97","3517111172421930","Robert Johnson",1,144,"Walker, Deleon and Wolf",1,"restaurant"
2202,"2018-05-29 14:29:47","$4.54","3517111172421930","Robert Johnson",1,64,"Cline, Myers and Strong",1,"restaurant"
2138,"2018-10-16 04:28:49","$5.13","4761049645711555811","Robert Johnson",1,36,"Hamilton-Mcfarland",1,"restaurant"
356,"2018-01-29 11:52:48","$5.14","4761049645711555811","Robert Johnson",1,131,"Harrison, Newton and Hansen",1,"restaurant"
67,"2018-05-05 17:49:05","$8.42","3517111172421930","Robert Johnson",1,75,"Martinez Group",1,"restaurant"
1217,"2018-07-24 03:14:20","$10.17","3517111172421930","Robert Johnson",1,77,"Brown, Ballard and Glass",1,"restaurant"
1193,"2018-08-17 05:25:32","$10.21","4761049645711555811","Robert Johnson",1,2,"Riggs-Adams",1,"restaurant"
1701,"2018-02-03 12:53:24","$10.23","4761049645711555811","Robert Johnson",1,95,"Baxter-Smith",1,"restaurant"
1516,"2018-02-01 20:44:12","$10.24","3517111172421930","Robert Johnson",1,51,"Fisher-Bolton",1,"restaurant"
1493,"2018-04-10 13:16:51","$10.30","4761049645711555811","Robert Johnson",1,134,"Jenkins, Peterson and Beck",1,"restaurant"
1267,"2018-09-23 22:15:58","$10.32","3517111172421930","Robert Johnson",1,1,"Murphy, Heath and Fields",1,"restaurant"
1453,"2018-12-14 20:15:29","$10.40","3517111172421930","Robert Johnson",1,47,"Martin Inc",1,"restaurant"
1545,"2018-01-31 09:42:00","$10.49","3517111172421930","Robert Johnson",1,77,"Brown, Ballard and Glass",1,"restaurant"
1878,"2018-05-09 17:46:32","$10.95","3517111172421930","Robert Johnson",1,25,"Vaughn, Wilson and Hall",1,"restaurant"
1885,"2018-08-30 05:25:49","$11.35","3517111172421930","Robert Johnson",1,8,"Russell-Thomas",1,"restaurant"
1277,"2018-06-07 19:19:09","$11.42","4761049645711555811","Robert Johnson",1,77,"Brown, Ballard and Glass",1,"restaurant"
984,"2018-10-13 17:11:10","$11.87","4761049645711555811","Robert Johnson",1,124,"Mccarty PLC",1,"restaurant"
1433,"2018-03-17 21:08:36","$13.27","4761049645711555811","Robert Johnson",1,76,"Lowe PLC",1,"restaurant"
2515,"2018-12-11 07:42:50","$14.92","3517111172421930","Robert Johnson",1,71,"Greene LLC",1,"restaurant"
2622,"2018-01-15 10:27:56","$15.51","4761049645711555811","Robert Johnson",1,8,"Russell-Thomas",1,"restaurant"
2493,"2018-11-01 18:35:49","$15.83","4761049645711555811","Robert Johnson",1,55,"Johnson, Rivas and Anderson",1,"restaurant"
2978,"2018-01-28 14:38:33","$19.93","3517111172421930","Robert Johnson",1,71,"Greene LLC",1,"restaurant"
3423,"2018-04-09 10:24:32","$283.00","4761049645711555811","Robert Johnson",1,50,"Johnson-Watts",1,"restaurant"
1536,"2018-09-06 21:55:02","$1,056.00","4761049645711555811","Robert Johnson",1,36,"Hamilton-Mcfarland",1,"restaurant"
968,"2018-09-26 08:48:40","$1,060.00","4761049645711555811","Robert Johnson",1,134,"Jenkins, Peterson and Beck",1,"restaurant"
3409,"2018-09-21 01:57:52","$1.58","675911140852","Shane Shaffer",2,85,"Patton-Rivera",3,"bar"
2440,"2018-05-24 20:39:06","$1.76","675911140852","Shane Shaffer",2,87,"Griffin-Woodard",3,"bar"
700,"2018-11-11 12:11:32","$2.25","4866761290278198714","Shane Shaffer",2,4,"Mccarty-Thomas",3,"bar"
691,"2018-09-20 19:13:12","$3.05","4866761290278198714","Shane Shaffer",2,42,"Kennedy-Chen",3,"bar"
2268,"2018-07-05 17:19:48","$3.43","4866761290278198714","Shane Shaffer",2,141,"Wood-Ramirez",3,"bar"
183,"2018-09-25 03:08:58","$3.92","4866761290278198714","Shane Shaffer",2,40,"Cox, Montgomery and Morgan",3,"bar"
2289,"2018-09-10 14:18:24","$4.15","675911140852","Shane Shaffer",2,122,"Perry and Sons",3,"bar"
431,"2018-06-14 11:45:43","$5.13","4866761290278198714","Shane Shaffer",2,141,"Wood-Ramirez",3,"bar"
396,"2018-04-07 16:40:23","$6.50","675911140852","Shane Shaffer",2,122,"Perry and Sons",3,"bar"
288,"2018-03-22 10:13:54","$6.82","4866761290278198714","Shane Shaffer",2,112,"Greer Inc",3,"bar"
1569,"2018-11-30 06:29:40","$10.08","4866761290278198714","Shane Shaffer",2,70,"White-Hall",3,"bar"
1867,"2018-01-06 05:13:20","$10.82","4866761290278198714","Shane Shaffer",2,70,"White-Hall",3,"bar"
1245,"2018-01-19 20:12:31","$11.58","4866761290278198714","Shane Shaffer",2,132,"Pugh-Williams",3,"bar"
2583,"2018-06-15 09:16:06","$12.64","4866761290278198714","Shane Shaffer",2,56,"Smith PLC",3,"bar"
2883,"2018-03-15 06:41:30","$15.24","675911140852","Shane Shaffer",2,33,"Vasquez-Parker",3,"bar"
3060,"2018-02-08 12:15:41","$15.39","675911140852","Shane Shaffer",2,135,"Jacobs, Torres and Walker",3,"bar"
2595,"2018-10-24 09:56:38","$16.84","4866761290278198714","Shane Shaffer",2,70,"White-Hall",3,"bar"
2491,"2018-07-28 03:34:44","$17.16","4866761290278198714","Shane Shaffer",2,33,"Vasquez-Parker",3,"bar"
2655,"2018-01-16 06:29:35","$17.64","675911140852","Shane Shaffer",2,136,"Martinez-Robinson",3,"bar"
2691,"2018-09-16 17:27:47","$17.72","675911140852","Shane Shaffer",2,135,"Jacobs, Torres and Walker",3,"bar"
2439,"2018-01-06 02:16:41","$1.33","4866761290278198714","Shane Shaffer",2,127,"Williams, Wright and Wagner",2,"coffee shop"
2350,"2018-08-05 14:41:31","$4.09","4866761290278198714","Shane Shaffer",2,68,"Ramirez-Carr",2,"coffee shop"
219,"2018-03-06 04:01:25","$4.10","4866761290278198714","Shane Shaffer",2,127,"Williams, Wright and Wagner",2,"coffee shop"
1965,"2018-07-03 21:30:30","$4.78","675911140852","Shane Shaffer",2,113,"Edwards-Aguirre",2,"coffee shop"
1159,"2018-12-13 15:28:18","$10.06","675911140852","Shane Shaffer",2,110,"Rodriguez, Dunlap and Nunez",2,"coffee shop"
1518,"2018-03-20 06:01:25","$10.15","675911140852","Shane Shaffer",2,117,"Mitchell Group",2,"coffee shop"
927,"2018-04-19 05:14:16","$10.31","4866761290278198714","Shane Shaffer",2,68,"Ramirez-Carr",2,"coffee shop"
969,"2018-01-26 11:32:35","$11.39","675911140852","Shane Shaffer",2,67,"Maxwell, Tapia and Villanueva",2,"coffee shop"
1033,"2018-06-01 06:25:18","$13.03","675911140852","Shane Shaffer",2,130,"Brown, Estrada and Powers",2,"coffee shop"
929,"2018-03-10 08:52:09","$13.53","675911140852","Shane Shaffer",2,109,"Collins LLC",2,"coffee shop"
3182,"2018-05-28 07:57:39","$15.96","675911140852","Shane Shaffer",2,128,"Pitts, Salinas and Garcia",2,"coffee shop"
2481,"2018-06-05 11:13:42","$16.96","675911140852","Shane Shaffer",2,150,"Johnson and Sons",2,"coffee shop"
3192,"2018-05-12 14:28:04","$18.90","4866761290278198714","Shane Shaffer",2,104,"Mcdaniel, Hines and Mcfarland",2,"coffee shop"
708,"2018-02-26 01:52:16","$1.01","675911140852","Shane Shaffer",2,81,"Fowler and Sons",5,"food truck"
2332,"2018-04-01 11:54:51","$1.08","675911140852","Shane Shaffer",2,140,"Wheeler-Moreno",5,"food truck"
3421,"2018-10-02 18:48:15","$1.17","4866761290278198714","Shane Shaffer",2,149,"Clark and Sons",5,"food truck"
3345,"2018-05-22 22:34:52","$1.19","4866761290278198714","Shane Shaffer",2,48,"Baker Inc",5,"food truck"
2420,"2018-10-07 11:21:08","$2.92","4866761290278198714","Shane Shaffer",2,140,"Wheeler-Moreno",5,"food truck"
794,"2018-07-08 14:50:38","$3.13","675911140852","Shane Shaffer",2,23,"Wilson, Roberts and Davenport",5,"food truck"
834,"2018-05-12 19:53:37","$3.31","4866761290278198714","Shane Shaffer",2,93,"Rodriguez-Parker",5,"food truck"
2399,"2018-08-14 12:33:56","$4.89","4866761290278198714","Shane Shaffer",2,46,"Miller, Chavez and Cobb",5,"food truck"
2,"2018-06-24 22:54:41","$4.96","4866761290278198714","Shane Shaffer",2,61,"Richardson, Smith and Jordan",5,"food truck"
312,"2018-02-23 13:04:55","$6.96","4866761290278198714","Shane Shaffer",2,23,"Wilson, Roberts and Davenport",5,"food truck"
49,"2018-08-26 06:56:54","$9.48","675911140852","Shane Shaffer",2,120,"Vega, Jones and Castro",5,"food truck"
1524,"2018-08-23 02:43:10","$10.06","4866761290278198714","Shane Shaffer",2,120,"Vega, Jones and Castro",5,"food truck"
1203,"2018-03-11 09:33:38","$10.08","4866761290278198714","Shane Shaffer",2,34,"Combs-Jones",5,"food truck"
1202,"2018-10-11 09:37:18","$10.17","4866761290278198714","Shane Shaffer",2,49,"Davis, Lowe and Baxter",5,"food truck"
1915,"2018-07-01 23:06:28","$10.26","4866761290278198714","Shane Shaffer",2,94,"Yoder-Zavala",5,"food truck"
1388,"2018-04-17 01:50:13","$10.26","675911140852","Shane Shaffer",2,147,"Marshall-Lopez",5,"food truck"
884,"2018-11-04 19:40:03","$11.41","4866761290278198714","Shane Shaffer",2,147,"Marshall-Lopez",5,"food truck"
2753,"2018-06-01 11:31:13","$14.24","675911140852","Shane Shaffer",2,49,"Davis, Lowe and Baxter",5,"food truck"
3179,"2018-06-02 19:39:36","$15.95","4866761290278198714","Shane Shaffer",2,120,"Vega, Jones and Castro",5,"food truck"
2555,"2018-10-30 09:45:03","$16.64","4866761290278198714","Shane Shaffer",2,48,"Baker Inc",5,"food truck"
2856,"2018-03-05 15:43:47","$17.06","4866761290278198714","Shane Shaffer",2,142,"Thomas-Garcia",5,"food truck"
2774,"2018-08-19 05:06:51","$19.51","4866761290278198714","Shane Shaffer",2,24,"Rodgers, Johnston and Macias",5,"food truck"
3395,"2018-02-03 18:05:39","$1.41","4866761290278198714","Shane Shaffer",2,65,"Allen, Ramos and Carroll",4,"pub"
3407,"2018-03-20 17:15:15","$1.64","4866761290278198714","Shane Shaffer",2,60,"Smith-Richards",4,"pub"
2007,"2018-08-26 05:44:04","$2.74","4866761290278198714","Shane Shaffer",2,37,"Nguyen, Bautista and Williams",4,"pub"
3461,"2018-10-28 02:29:29","$2.89","675911140852","Shane Shaffer",2,57,"Thornton-Williams",4,"pub"
413,"2018-12-02 04:22:01","$4.29","4866761290278198714","Shane Shaffer",2,115,"Williams Inc",4,"pub"
2178,"2018-09-15 10:53:50","$4.70","4866761290278198714","Shane Shaffer",2,146,"Pitts, Smith and Gonzalez",4,"pub"
63,"2018-10-30 18:54:22","$5.87","4866761290278198714","Shane Shaffer",2,78,"Ruiz-Anderson",4,"pub"
351,"2018-07-07 14:55:25","$7.41","675911140852","Shane Shaffer",2,98,"Rivera PLC",4,"pub"
1675,"2018-07-01 03:34:39","$10.09","4866761290278198714","Shane Shaffer",2,44,"Little-Floyd",4,"pub"
1695,"2018-12-22 23:29:09","$10.20","4866761290278198714","Shane Shaffer",2,90,"Brown-Cunningham",4,"pub"
888,"2018-08-16 07:51:18","$10.29","4866761290278198714","Shane Shaffer",2,57,"Thornton-Williams",4,"pub"
1282,"2018-07-22 12:37:13","$10.33","675911140852","Shane Shaffer",2,96,"Johnson-Fuller",4,"pub"
1379,"2018-01-23 08:07:03","$10.47","4866761290278198714","Shane Shaffer",2,7,"Gomez-Kelly",4,"pub"
1538,"2018-06-06 18:54:28","$10.65","675911140852","Shane Shaffer",2,7,"Gomez-Kelly",4,"pub"
998,"2018-01-10 10:07:20","$10.91","675911140852","Shane Shaffer",2,78,"Ruiz-Anderson",4,"pub"
1913,"2018-12-16 13:44:25","$11.38","4866761290278198714","Shane Shaffer",2,12,"Bell, Gonzalez and Lowe",4,"pub"
1472,"2018-05-06 00:05:30","$12.11","4866761290278198714","Shane Shaffer",2,37,"Nguyen, Bautista and Williams",4,"pub"
2460,"2018-09-15 04:53:10","$15.21","675911140852","Shane Shaffer",2,60,"Smith-Richards",4,"pub"
2698,"2018-08-06 16:17:07","$16.55","675911140852","Shane Shaffer",2,58,"Young, Hull and Williams",4,"pub"
2576,"2018-07-06 03:02:41","$16.99","675911140852","Shane Shaffer",2,16,"Bryant, Thomas and Collins",4,"pub"
2614,"2018-06-19 02:45:45","$17.25","4866761290278198714","Shane Shaffer",2,107,"Rowe-Abbott",4,"pub"
3028,"2018-01-07 15:10:27","$17.29","4866761290278198714","Shane Shaffer",2,126,"Bartlett and Sons",4,"pub"
2878,"2018-02-08 05:12:18","$18.32","4866761290278198714","Shane Shaffer",2,57,"Thornton-Williams",4,"pub"
2495,"2018-03-29 20:01:40","$18.62","4866761290278198714","Shane Shaffer",2,11,"Stanton Group",4,"pub"
662,"2018-04-29 18:35:27","$0.70","675911140852","Shane Shaffer",2,75,"Martinez Group",1,"restaurant"
3474,"2018-06-18 19:37:57","$1.67","675911140852","Shane Shaffer",2,100,"Townsend-Anderson",1,"restaurant"
831,"2018-05-10 00:19:48","$3.42","675911140852","Shane Shaffer",2,47,"Martin Inc",1,"restaurant"
2081,"2018-03-12 05:07:34","$3.79","675911140852","Shane Shaffer",2,77,"Brown, Ballard and Glass",1,"restaurant"
2323,"2018-03-10 19:52:29","$4.13","675911140852","Shane Shaffer",2,64,"Cline, Myers and Strong",1,"restaurant"
181,"2018-05-01 19:42:46","$6.55","4866761290278198714","Shane Shaffer",2,72,"Lopez-Kelly",1,"restaurant"
967,"2018-10-05 18:25:07","$10.02","675911140852","Shane Shaffer",2,108,"Best Inc",1,"restaurant"
1220,"2018-04-13 17:07:40","$10.21","4866761290278198714","Shane Shaffer",2,51,"Fisher-Bolton",1,"restaurant"
1692,"2018-10-30 07:27:12","$10.45","675911140852","Shane Shaffer",2,1,"Murphy, Heath and Fields",1,"restaurant"
1500,"2018-05-06 14:01:43","$10.91","675911140852","Shane Shaffer",2,79,"Lee LLC",1,"restaurant"
962,"2018-12-28 15:30:55","$11.03","675911140852","Shane Shaffer",2,2,"Riggs-Adams",1,"restaurant"
1074,"2018-03-18 18:55:28","$11.22","4866761290278198714","Shane Shaffer",2,79,"Lee LLC",1,"restaurant"
1508,"2018-04-08 11:31:27","$11.26","675911140852","Shane Shaffer",2,108,"Best Inc",1,"restaurant"
1909,"2018-09-29 07:16:40","$11.35","4866761290278198714","Shane Shaffer",2,55,"Johnson, Rivas and Anderson",1,"restaurant"
